@relation data

@attribute 'RSSI LEFT_ORIGIN' numeric
@attribute 'RSSI MIDDLE_ORIGIN' numeric
@attribute 'RSSI RIGHT_ORIGIN' numeric
@attribute 'RSSI TRUNK_ORIGIN' numeric
@attribute 'RSSI FRONTLEFT_ORIGIN' numeric
@attribute 'RSSI FRONTRIGHT_ORIGIN' numeric
@attribute 'RSSI REARLEFT_ORIGIN' numeric
@attribute 'RSSI REARRIGHT_ORIGIN' numeric
@attribute class {near,far}

@data
2.33138,6.748351,11.24418,3.833659,1.093315,8.182787,8.993485,10.19418,near
16.577875,13.76402,8.033659,8.83315,21.814502,12.867196,4.18451,2.998162,far
12.74418,16.442196,13.493485,11.667196,4.329228,9.377875,12.448351,13.643485,far
18.077875,12.26402,3.907366,14.08451,2.78138,1.73145,11.23315,7.198162,far
12.082787,12.417196,4.167196,5.979228,10.64418,9.28315,2.33145,3.879228,far
8.979228,2.174418,1.243315,1.732787,15.26402,5.483659,1.394348,0.868451,near
0.476402,3.879228,7.19418,1.73138,1.376402,13.76402,0.624008,3.44418,near
5.702565,11.098351,15.417196,6.748162,2.63138,11.68315,5.479555,10.33451,far
5.252565,3.17672,1.993315,0.387923,14.18145,6.417196,5.098351,0.457366,near
11.23451,13.767196,11.667196,10.740077,2.39422,2.447627,12.598162,9.88315,far
18.077875,14.06402,5.933659,8.83315,19.78451,10.93451,5.08451,3.598162,far
7.48451,2.182787,0.774008,2.93138,7.03451,1.79422,8.067196,1.676402,near
17.81402,21.977875,7.93315,13.01402,9.148162,8.190077,17.21402,10.31402,far
1.22672,3.647627,10.590077,3.879228,0.537923,11.667196,3.68138,7.198351,near
6.007366,3.89422,7.13138,3.879228,1.22672,7.493485,9.579228,12.157366,near
1.882787,3.152565,6.683659,0.718451,4.657366,14.693485,0.308138,1.882787,near
4.948351,1.73138,0.173279,1.94422,9.529555,3.607366,10.33315,4.997627,near
1.397627,4.502565,4.729555,1.976402,1.394348,13.643485,0.774008,2.126402,near
1.282787,4.352565,5.333659,2.78145,3.13315,13.643485,0.614816,1.394348,near
17.027875,11.81402,4.479228,13.93451,2.896283,1.093315,11.38315,6.748351,far
5.407366,10.943485,12.267196,10.140077,1.826402,9.090077,5.629555,14.36402,far
4.73145,9.86402,16.043485,4.097627,7.179228,20.042196,2.782787,3.457366,far
19.292196,15.443485,6.43315,10.94418,3.452565,1.544348,16.427875,6.990077,far
1.244348,4.846283,7.202565,3.926402,1.676402,19.442196,1.844348,6.083659,near
12.26402,15.417196,10.648351,8.99418,1.376402,6.307366,13.01402,12.88451,far
4.94418,3.602565,6.598351,1.779228,1.393315,6.947627,5.667196,7.740077,near
16.01402,8.83315,2.33145,6.233659,14.08315,2.447627,6.73315,3.23145,far
3.08138,14.217196,17.177875,8.83451,4.329228,15.443485,7.648351,13.49418,far
11.51402,4.590077,4.19422,6.298162,6.598351,1.79422,15.077875,10.03451,near
14.843485,10.04418,1.544348,7.18451,7.78451,1.94422,10.93315,2.596283,far
5.702565,14.843485,17.027875,6.88451,2.18145,11.367196,7.648162,13.91402,far
14.53451,13.643485,10.16402,10.93315,3.196283,2.38315,14.51402,11.38315,far
7.948351,29.163803,16.274232,8.080888,6.148162,10.79418,4.745659,7.101973,far
14.96402,12.41402,7.052565,7.198351,17.39418,8.698162,5.779555,3.429228,far
3.59422,8.640077,10.467196,6.383659,5.229228,15.443485,1.22672,3.307366,far
1.226402,3.68138,6.598162,1.732787,4.694348,12.68138,4.357366,6.58315,near
11.08315,4.479228,4.802565,0.868451,19.894051,20.464502,0.435257,0.774008,near
9.44418,18.242196,12.267196,11.08315,4.279555,13.577875,9.448351,14.033659,far
12.86402,7.440077,3.14422,5.548162,5.629555,0.495737,16.727875,9.44418,near
16.193485,14.36402,6.26402,12.43315,6.83138,2.33138,16.043485,8.98315,far
12.88315,11.817196,5.252565,9.302565,7.78315,2.63138,13.057366,7.546283,far
16.493485,13.767196,2.597627,9.240077,6.279228,1.22672,10.78315,4.952565,far
10.31402,3.990077,1.526402,4.429555,5.398351,1.724418,13.877875,10.64418,near
3.788186,2.286054,1.544348,3.869356,13.70158,0.944348,10.674597,4.883659,near
15.417196,16.193485,7.617196,10.93315,10.03451,5.627875,11.96402,8.093485,far
15.26402,17.967196,9.298162,11.08451,4.048351,3.879228,16.193485,10.629228,far
6.11402,13.493485,13.01402,4.140077,1.376402,7.590077,11.027875,10.04418,far
1.19422,4.652565,6.448351,1.243315,3.607366,10.997627,1.617196,3.898351,near
11.39418,7.652565,4.22672,6.047627,5.893315,1.918451,13.18451,7.547627,near
16.61402,10.33451,2.746283,3.157366,13.91402,1.22672,4.58138,2.107366,far
8.53451,2.596283,1.694348,2.032787,12.043315,5.667196,8.632787,3.08138,near
0.974418,9.43315,13.76402,8.183659,1.22672,15.077875,8.53451,9.13451,far
11.83451,14.367196,11.967196,11.040077,2.69422,1.997627,13.198162,10.48315,far
7.502565,4.048351,1.952565,3.68138,15.23138,7.18315,4.58138,3.02672,near
3.879228,15.893485,19.017196,7.18451,1.376402,10.18315,5.998162,12.293485,far
1.274418,5.098162,7.78451,1.318451,1.543315,15.73315,0.435257,6.58451,near
16.643485,8.84418,1.544348,7.18451,9.540077,0.974418,11.38315,1.582787,far
14.693485,10.19418,1.544348,7.33451,7.63451,1.79422,10.93315,2.447627,far
0.387923,4.202565,9.59418,1.544348,1.093315,13.76402,1.093315,4.94418,near
13.76402,10.63315,5.746283,6.298351,13.76402,6.448162,6.227875,2.032787,far
2.39422,18.964502,16.877875,6.840077,6.28451,15.443485,3.298162,3.833659,far
1.093315,5.48145,5.479555,3.38138,2.126402,17.093485,1.976402,5.483659,near
4.479228,19.46402,16.63315,9.53138,8.126402,15.443485,5.597627,11.99418,far
11.68315,11.517196,8.040077,2.446283,22.076274,13.16402,2.447627,3.796283,far
1.074008,1.507366,4.502565,1.88145,1.79422,17.327875,3.68138,8.190077,near
8.032787,11.83315,7.617196,4.629228,7.952565,10.798162,2.443315,2.597627,far
13.91402,8.09418,2.33145,4.58138,15.443485,2.746283,4.048162,2.632787,far
14.177875,13.91402,9.833659,6.58451,19.292196,14.967196,3.58451,3.346283,far
2.03138,11.66402,11.667196,4.498162,3.08138,12.148162,2.183659,4.78451,far
17.21402,7.78451,1.94422,5.329555,17.693485,5.03138,1.696283,1.093315,far
4.93315,11.51402,12.267196,7.048162,3.74422,8.998162,5.217196,10.03451,far
5.53315,10.93315,8.998351,4.479228,13.73138,10.502565,2.48145,2.39422,far
0.394763,4.729555,7.140077,1.393315,2.032787,15.26402,2.48145,5.790077,near
8.08315,11.68315,7.348162,3.307366,14.18138,8.552565,1.67672,2.63145,far
0.435257,3.148351,5.998351,1.352565,3.32672,19.427875,2.897627,3.757366,near
13.61402,10.79418,7.648351,5.23451,17.492196,9.28315,2.597627,3.007366,far
4.82672,4.029228,6.898162,4.929228,1.376402,8.87672,6.83138,11.09418,near
2.18145,13.793485,15.443485,7.198351,5.229228,17.927875,7.246283,8.783659,far
7.63315,4.648351,8.03138,5.483659,0.547956,3.532787,15.443485,10.048351,near
1.64422,4.732787,8.029555,1.28145,1.22672,17.027875,0.774008,5.379228,near
6.88315,11.967196,7.648351,3.429228,13.88138,9.752565,2.33145,1.996283,far
6.28451,5.848351,9.598351,7.33451,2.248162,4.352565,15.527875,15.89418,near
10.93315,4.179228,4.502565,0.974418,19.894051,20.764502,0.435257,0.774008,near
4.207366,2.18138,2.490077,0.824418,13.76402,10.043485,3.38145,0.788366,near
1.82672,2.126402,4.779228,2.87672,6.11402,12.717196,4.58145,6.53138,near
9.13451,4.879555,7.498162,5.479555,3.08138,0.547956,15.56402,10.767196,near
12.267196,8.38315,3.496283,6.148351,13.590077,4.629228,7.877875,3.347627,far
2.426402,7.883659,11.033659,5.257366,2.783659,10.18315,2.679228,7.657366,near
10.03451,12.417196,11.967196,9.240077,1.882787,4.03315,10.798162,9.88315,far
19.277875,13.46402,3.457366,13.18451,2.896283,1.732787,10.33315,6.083659,far
7.076402,6.598162,4.429555,1.732787,8.893315,12.143485,1.732787,0.435257,near
10.577875,13.01402,12.13315,7.18451,15.392196,17.543485,2.746283,5.702565,far
16.502565,11.817196,9.443485,11.96402,8.39418,3.679555,14.36402,9.593485,far
7.63315,5.029555,10.94418,4.807366,2.93138,0.847956,14.067196,10.467196,near
6.748351,4.352565,7.029228,4.433659,7.317196,2.63145,11.817196,10.93315,near
0.689835,6.379555,9.090077,2.746283,2.21402,15.143485,1.22672,7.440077,near
8.23451,11.243485,11.68315,7.04418,1.226402,7.729555,6.893485,10.18451,far
1.22672,4.352565,5.779555,3.38138,5.217196,11.548162,1.093315,4.029228,near
5.483659,3.879228,0.839835,2.48145,9.58315,1.844348,10.467196,4.579555,near
14.66402,16.467196,7.198162,11.38451,5.548351,4.202565,15.593485,8.829228,far
5.447627,5.032787,6.752565,3.23145,0.774008,9.717196,9.679555,10.957366,near
4.883659,24.363803,12.974232,8.398351,4.952565,12.267196,4.498162,6.501973,far
10.617196,5.629555,3.08138,4.579555,5.402565,0.458138,14.21402,9.867196,near
1.376402,8.998351,13.017196,3.233659,1.22672,15.227875,7.740077,11.38451,far
2.24422,8.53315,13.91402,4.329228,3.748162,18.964502,3.679555,5.629555,far
10.847627,14.367196,8.83451,3.729228,11.483659,11.96402,3.23138,2.24422,far
2.182787,4.879555,7.890077,2.746283,0.689835,13.01402,4.43145,9.14418,near
7.048351,5.940077,1.279555,2.48145,12.043315,11.067196,3.232787,1.674008,near
12.43315,7.61402,2.447627,8.08315,12.079555,5.033659,3.448162,3.476402,far
16.91402,8.54418,2.707366,4.883659,16.793485,5.107366,2.447627,1.88145,far
3.08138,13.76402,16.577875,4.798162,2.69422,7.948351,5.033659,12.86402,far
12.452565,15.567196,18.377875,13.93451,3.74422,10.78315,12.88315,15.443485,far
4.202565,1.22672,1.22672,1.093315,14.667196,2.529228,4.179228,1.543315,near
5.738186,4.236054,2.594348,4.919356,11.75158,0.837923,12.624597,6.833659,near
12.717196,9.695784,2.932787,7.544348,11.517196,2.33138,9.452565,3.83138,far
12.11402,10.79418,7.740077,3.196283,21.392196,10.78315,2.446283,4.207366,far
3.938186,2.436054,1.694348,4.019356,13.55158,0.794348,10.824597,5.033659,near
9.73451,4.202565,1.37672,3.89422,9.343315,2.967196,7.93451,2.18145,near
12.867196,9.567196,4.18451,4.202565,15.683659,7.76402,2.557366,1.22672,far
4.440077,5.183659,8.63145,4.133659,1.732787,8.893315,10.61402,10.33315,near
12.267196,8.66402,2.39422,6.148162,12.44418,4.58145,8.06402,1.732787,far
2.09418,3.752565,5.848351,1.243315,3.23145,9.797627,2.817196,5.098351,near
13.18315,12.117196,5.552565,9.302565,7.48315,2.447627,13.357366,7.846283,far
6.840077,2.78145,0.488366,1.88145,11.23451,3.879228,9.267196,4.13145,near
7.343485,12.377875,12.13315,7.798351,4.19418,11.979228,4.976402,7.996283,far
11.479555,13.277875,11.993485,9.88451,4.929228,4.63315,11.53315,8.99418,far
1.676402,3.532787,6.448162,3.457366,0.92672,16.127875,1.22672,6.748351,near
13.579555,14.66402,15.293485,9.13451,2.402565,4.433659,15.44418,16.01402,far
1.376402,11.66402,10.94418,3.98138,3.242196,15.992196,2.39422,6.298162,far
5.848162,12.267196,13.76402,8.079228,3.429228,16.043485,9.233659,11.38315,far
2.84422,12.41402,14.177875,3.452565,1.73145,14.993485,4.88145,10.290077,far
4.648351,2.03138,0.194422,2.24422,9.829555,3.607366,10.63315,5.297627,near
15.26402,20.027875,10.78315,13.33315,6.298162,6.840077,14.36402,9.56402,far
12.679555,11.06402,3.593485,6.43315,10.04418,2.48145,10.46402,3.59418,far
0.774008,4.652565,6.148351,1.676402,3.607366,11.897627,0.717196,3.307366,near
10.78315,12.417196,4.883659,6.86402,15.443485,5.479555,7.46402,4.63451,far
16.16402,8.98451,1.94422,6.148162,14.83315,2.746283,5.98315,3.08145,far
9.74418,3.08138,0.974418,4.052565,5.848162,1.376402,11.367196,2.379228,near
1.394348,1.676402,4.498162,1.096283,2.78138,11.24418,4.79418,8.107366,near
10.19418,7.348351,8.98315,5.033659,2.897627,0.244763,17.177875,10.16402,near
5.297627,7.798351,6.598351,2.63138,7.352565,15.117196,2.69422,1.807366,near
7.129555,6.298162,3.29422,1.732787,12.267196,6.598162,0.435257,0.938366,near
7.07672,3.602565,0.774008,3.452565,5.033659,0.868451,9.73451,5.54418,near
11.38315,7.917196,1.732787,5.102565,11.23315,1.94422,8.257366,2.746283,far
15.86402,17.927875,5.08315,9.26402,13.03315,5.340077,12.827875,5.96402,far
8.552565,5.333659,1.018451,4.352565,15.68138,4.33315,8.63138,3.832787,near
1.243315,3.68138,11.98451,3.983659,3.645737,12.267196,1.376402,3.08138,near
13.917196,11.66402,6.417196,9.73315,5.629555,1.547627,14.698162,6.88315,far
14.393485,8.667196,2.447627,8.998351,9.74418,1.376402,13.33315,3.879228,far
9.88451,7.498351,2.54422,5.557366,8.69418,1.82672,13.179228,5.557366,near
5.755469,8.4459,5.007181,1.543315,19.248221,11.430333,1.093315,0.764816,near
1.94422,7.590077,13.943485,5.979228,2.632787,16.043485,5.483659,6.529555,far
15.443485,10.48315,1.582787,5.848351,14.53315,3.879228,9.43315,3.307366,far
3.448351,1.546283,5.229228,1.802565,4.017196,5.93145,8.517196,11.53315,near
9.982787,12.417196,6.867196,5.979228,9.74418,10.18315,3.307366,3.197627,far
4.052565,4.329228,3.793315,1.137923,15.68145,8.517196,2.998351,0.92672,near
10.79418,7.352565,2.72672,4.547627,6.793315,0.839835,11.68451,6.047627,near
6.902565,5.548351,3.152565,2.78138,14.63138,8.68315,3.38138,2.72672,near
2.24422,3.240077,3.902565,1.724418,7.78315,15.293485,0.308138,1.58138,near
1.882787,13.61402,13.33315,3.08138,1.22672,15.443485,2.144348,6.983659,far
6.229555,10.198351,14.517196,6.898351,1.13138,10.18315,6.148162,9.73451,far
17.843485,14.093485,3.983659,9.88315,17.23451,8.398351,6.13451,5.248162,far
15.443485,10.03315,1.79422,6.898351,13.48315,2.979228,8.38315,2.257366,far
1.432787,4.498162,9.74418,3.23138,1.376402,12.28315,1.943485,7.34418,near
6.148351,26.463803,14.174232,6.898351,5.483659,12.73315,5.098162,8.301973,far
8.08451,7.279555,5.69422,0.982787,24.476274,11.23315,1.882787,0.345737,near
12.567196,10.145784,1.64422,6.494348,13.467196,1.94422,7.502565,2.447627,far
1.694348,2.897627,10.140077,3.08138,0.435257,10.617196,3.457366,7.948351,near
8.446283,18.56402,17.177875,10.78451,8.548351,14.393485,13.63315,15.86402,far
2.144348,9.71402,14.51402,3.383659,4.629228,17.792196,3.776402,3.68138,far
11.83315,11.495784,5.557366,10.33451,7.317196,2.447627,12.417196,7.948162,far
1.844348,4.502565,8.54418,1.882787,4.73138,14.38315,0.832787,3.729228,near
2.78138,12.41402,12.267196,5.248162,2.84422,11.398162,2.933659,5.53451,far
14.543485,9.717196,1.94422,7.48451,8.38451,2.24422,11.38315,2.829228,far
3.157366,4.348162,8.98451,2.63145,8.145737,12.117196,3.08138,3.59418,near
2.33145,15.26402,14.843485,7.498351,7.429555,18.527875,7.348351,10.583659,far
10.01402,4.590077,1.847627,5.029555,4.198351,0.943315,13.877875,11.84418,near
2.747627,9.73315,13.31402,7.798351,6.383659,13.467196,4.19418,4.917196,far
17.327875,11.51402,4.179228,14.23451,2.78138,1.093315,11.38315,6.748351,far
0.614816,1.282787,3.429228,1.52672,7.46402,13.767196,3.23145,5.18138,near
12.28315,8.53451,4.629228,6.73315,15.229555,4.952565,2.18145,3.53138,far
7.63315,4.729555,11.54418,4.207366,3.23138,0.776402,13.467196,11.067196,near
7.198351,17.049232,12.567196,3.68138,12.592284,16.043485,2.597627,4.696283,far
2.33145,10.63315,13.31402,7.140077,5.033659,13.33451,5.09418,7.917196,far
14.06402,8.83451,3.23138,6.683659,18.443485,3.38138,1.376402,2.33145,far
9.743485,12.377875,10.648162,7.18451,8.09418,13.779228,3.176402,3.796283,far
1.093315,2.896283,5.252565,1.376402,1.544348,17.627875,1.544348,5.333659,near
15.977875,15.11402,9.88315,10.19418,2.48138,1.732787,16.643485,6.267196,far
5.552565,6.6459,3.207181,1.376402,17.327875,10.530333,1.22672,1.732787,near
14.817196,10.617196,2.39422,7.629228,15.26402,2.597627,9.429228,4.629228,far
8.53451,11.243485,11.38315,7.04418,1.22672,7.429555,7.193485,10.48451,far
15.417196,15.443485,13.317196,13.917196,6.752565,8.027875,13.76402,12.893485,far
4.579555,12.867196,15.86402,7.929228,3.38138,17.993485,9.28315,14.81402,far
14.217196,14.36402,10.017196,11.23315,3.757366,2.447627,15.598162,10.48315,far
7.198351,6.298351,6.298162,5.629555,4.19422,5.843485,10.779228,9.090077,near
8.297627,10.94418,9.41402,3.197627,15.233659,12.117196,1.22672,2.297627,far
6.148351,2.182787,0.974418,3.44422,8.929555,2.747627,11.23315,3.879228,near
9.28451,4.846283,1.318451,3.748162,11.54418,2.09422,8.782787,5.340077,near
1.544348,10.348351,15.443485,5.998351,2.746283,9.977875,10.48315,12.567196,far
3.879228,2.702565,12.748351,3.58451,2.895737,2.033659,14.543485,15.74418,near
10.617196,12.44418,5.393485,10.31402,8.33138,1.976402,14.640077,5.517196,far
2.33145,7.290077,14.393485,4.397627,5.979228,17.042196,1.28145,2.897627,far
15.567196,16.043485,8.067196,11.36402,9.58451,5.177875,11.81402,8.543485,far
10.546283,19.442196,15.677875,11.08315,6.448351,11.993485,13.63315,14.66402,far
1.94422,9.240077,12.567196,5.029555,4.28145,16.193485,3.17672,3.23138,far
3.157366,11.667196,14.06402,5.790077,5.107366,12.88451,6.44418,8.967196,far
14.067196,16.127875,12.267196,12.567196,5.402565,7.277875,13.167196,11.543485,far
6.529555,5.7459,1.13138,2.144348,16.277875,8.430333,1.732787,2.144348,near
8.665023,10.445784,10.03315,2.24422,12.267196,14.993485,1.093315,1.376402,far
3.947627,12.567196,10.467196,6.148162,4.357366,14.66402,2.39422,5.998162,far
5.39418,4.052565,7.048351,1.929228,1.243315,6.497627,6.117196,7.847627,near
