@relation data

@attribute 'RSSI LEFT_ORIGIN' numeric
@attribute 'RSSI MIDDLE_ORIGIN' numeric
@attribute 'RSSI RIGHT_ORIGIN' numeric
@attribute 'RSSI TRUNK_ORIGIN' numeric
@attribute class {near,far}

@data
1.376402,4.076402,8.640077,2.132787,near
6.998351,8.140077,6.18138,1.476402,far
9.979555,10.598351,6.448162,6.579555,far
13.34418,9.74418,3.08138,9.157366,far
9.18138,4.179228,1.732787,3.657366,far
3.28138,1.774418,0.974008,1.576402,near
0.387923,3.08138,2.746283,0.889835,near
3.88138,8.579555,9.88451,5.54422,far
3.18138,2.24422,1.693315,0.387923,near
9.157366,9.940077,6.548162,7.883659,far
10.18451,8.840077,4.58138,5.479228,far
4.179228,1.644348,0.647956,1.376402,near
14.36402,12.68451,3.346283,6.148162,far
1.174418,2.647627,5.74422,3.18138,near
5.08138,3.24422,6.148162,3.857366,near
1.744348,2.244348,3.947627,0.547956,near
2.076402,1.174418,0.173279,1.832787,near
0.774008,3.347627,3.457366,1.093315,near
1.074418,2.98145,3.457366,2.044348,near
14.04418,7.498351,3.78138,7.740077,far
4.779228,8.048162,9.548162,6.998351,far
3.78145,6.779228,12.540077,3.08138,far
13.067196,12.367196,4.257366,5.552565,far
0.774008,3.879228,5.157366,3.076402,near
4.352565,10.298351,8.698351,6.148162,far
0.308138,1.932787,2.18145,1.32672,near
7.352565,6.979555,2.28145,4.68138,far
2.947627,10.93315,9.74418,7.198351,far
4.679228,1.72672,1.932787,2.64422,near
9.940077,6.479228,1.544348,4.952565,far
3.84422,8.348162,11.33315,4.58138,far
10.757366,7.048162,3.246283,6.052565,far
6.648162,11.63315,8.240077,5.879555,far
9.440077,7.279228,4.647627,4.179228,far
2.644348,5.652565,6.998351,3.979228,far
0.974418,2.42672,4.18138,1.732787,near
9.58451,4.079228,4.652565,0.868451,near
6.179555,7.740077,11.63315,5.979555,far
3.28138,1.376402,2.42672,1.476402,near
12.567196,9.648162,1.932787,8.652565,far
10.748162,8.057366,4.18145,6.346283,far
11.83315,6.448162,2.547627,5.183659,far
6.679555,3.346283,1.22672,2.38145,near
3.238186,1.82672,1.308138,2.093315,near
8.448162,6.648162,2.532787,4.057366,far
8.98451,11.998351,7.657366,6.648162,far
3.246283,5.079228,7.579555,2.68145,far
0.868451,2.52672,3.58145,1.074418,near
7.057366,3.879228,3.02672,4.493315,near
10.840077,8.079555,1.544348,2.632787,far
3.446283,2.42672,1.093315,1.94422,near
0.974418,4.552565,8.68451,6.279228,far
9.557366,10.340077,6.948162,8.283659,far
3.979228,2.14422,1.093315,2.544348,near
2.276402,11.13315,14.248162,3.446283,far
0.947956,1.22672,3.18138,1.168451,near
12.140077,6.848162,1.52672,4.883659,far
10.040077,6.579228,1.544348,5.052565,far
0.387923,2.746283,3.457366,1.476402,near
11.03315,6.657366,3.732787,4.079228,far
2.232787,10.240077,10.88451,5.052565,far
1.093315,4.18138,4.452565,2.58145,near
3.64422,10.38451,12.34418,5.479555,far
8.540077,6.179555,7.740077,1.92672,far
0.747956,1.193315,2.244348,1.093315,near
6.08138,5.983659,5.083659,2.644348,far
8.140077,4.357366,2.24422,3.557366,far
3.646283,9.28451,7.048162,3.476402,far
1.32672,3.879228,5.679555,2.18145,far
11.08451,6.248162,1.94422,4.447627,far
2.68145,6.046283,10.24418,4.276402,far
2.032787,3.857366,6.852565,3.746283,far
0.344763,0.714816,1.732787,1.32672,near
3.646283,7.148162,5.152565,2.447627,far
0.435257,0.544763,1.22672,0.435257,near
7.098351,7.840077,4.179228,1.94422,far
3.74422,3.58138,4.779228,2.98145,near
1.944348,4.752565,8.840077,4.457366,far
5.479228,2.647627,6.446283,3.88138,near
1.074418,1.476402,4.883659,1.093315,near
3.08138,7.740077,5.952565,2.846283,far
3.457366,3.08138,6.246283,4.347627,near
9.38451,3.879228,4.452565,0.968451,near
3.28138,1.074418,0.688366,0.774008,near
1.514816,1.868451,3.946283,2.293315,near
5.983659,3.147627,3.246283,3.646283,near
9.998351,5.157366,2.232787,5.183659,far
2.18145,5.48145,7.783659,4.046283,near
7.957366,8.740077,6.548162,6.683659,far
12.54418,10.598351,2.88145,8.357366,far
5.376402,5.032787,1.94422,1.732787,near
1.82672,4.98138,9.18451,4.28138,far
6.248162,7.740077,1.932787,4.352565,far
5.183659,3.532787,5.579555,3.076402,near
4.379228,2.946283,5.34422,2.04422,near
0.689835,5.783659,5.483659,1.376402,near
3.557366,7.398351,8.398351,3.14422,far
1.22672,2.832787,5.079228,1.52672,near
3.644348,2.693315,0.789835,2.144348,near
11.33315,10.598351,6.257366,6.348162,far
4.28145,3.793315,5.444348,3.08138,near
3.879228,9.398351,10.04418,6.279228,far
4.352565,2.846283,2.68145,2.54422,near
1.376402,6.483659,9.140077,1.932787,far
1.92672,6.279555,8.648162,3.58138,far
8.24422,11.348162,3.657366,2.846283,far
2.18145,3.874008,4.644348,2.632787,near
3.757366,3.446283,0.547956,2.276402,near
8.848162,6.448162,2.14422,5.946283,far
9.798351,6.152565,1.732787,4.852565,far
2.832787,6.479228,10.04418,3.557366,far
8.357366,9.448162,11.78451,8.848162,far
3.08138,1.22672,1.22672,0.889835,near
4.538186,3.12672,2.18145,3.08138,near
8.383659,6.779555,2.62672,4.146283,far
5.879555,8.448162,6.479555,3.046283,far
3.338186,1.92672,1.408138,2.193315,near
5.246283,2.447627,1.32672,3.08138,near
7.898351,5.183659,1.544348,2.647627,far
1.376402,1.94422,6.248162,1.22672,near
9.040077,3.879228,2.132787,4.04422,far
1.168451,1.72672,2.78145,1.193315,near
10.948162,8.257366,4.38145,5.479555,far
3.24422,2.076402,0.488366,1.376402,near
2.676402,5.68138,9.198351,4.757366,far
8.88451,7.598351,5.952565,4.18138,far
1.52672,3.08145,5.244348,2.893315,near
10.557366,8.698351,6.898351,5.879555,far
1.376402,5.847627,8.98451,1.94422,far
4.744348,6.479228,9.248162,5.64422,far
1.544348,3.757366,8.248162,2.34422,far
2.276402,1.374418,0.194422,2.032787,near
13.28145,10.78451,5.952565,7.179228,far
7.740077,4.08138,1.544348,2.44422,far
0.774008,2.58145,4.18145,1.576402,near
7.398351,5.583659,2.747627,2.946283,far
7.852565,7.198351,1.94422,5.18138,far
4.757366,3.08138,0.974418,2.04422,near
0.987923,1.576402,1.274418,0.387923,near
2.18145,5.38138,1.832787,3.68138,near
4.347627,5.24422,2.447627,1.593315,near
3.557366,3.647627,2.64422,1.644348,near
2.58145,1.94422,0.774008,2.093315,near
7.548162,4.857366,1.576402,3.146283,far
11.24418,6.348162,3.68138,4.679228,far
5.879555,3.64422,0.968451,3.744348,near
1.174418,3.346283,7.398351,2.132787,near
9.140077,5.779555,1.732787,2.747627,far
10.93315,6.179555,2.34422,6.94422,far
6.452565,6.079228,2.232787,4.657366,near
3.146283,3.58145,2.04422,1.274008,near
1.832787,5.879555,9.84418,2.88145,far
11.83315,5.579555,1.544348,3.98138,far
