@relation data

@attribute 'RSSI LEFT_ORIGIN' numeric
@attribute 'RSSI MIDDLE_ORIGIN' numeric
@attribute 'RSSI RIGHT_ORIGIN' numeric
@attribute 'RSSI TRUNK_ORIGIN' numeric
@attribute class {lock,right,left,start,trunk,back}

@data
1.22672,4.34422,8.998162,3.907366,lock
4.648162,2.53138,1.135257,1.32672,right
3.897627,2.126402,0.864816,1.876402,right
5.183659,3.979228,1.343315,3.482787,right
1.739835,4.796283,8.698351,3.78138,left
5.302565,3.68138,0.868451,2.62672,right
1.143315,0.173279,0.918451,0.724628,start
0.764816,0.122672,1.174008,0.488366,start
1.243315,2.597627,6.833659,3.38138,lock
6.533659,7.179228,6.38138,5.033659,lock
1.22672,1.643315,1.443315,0.122672,trunk
1.544348,4.802565,5.183659,1.82672,lock
7.648162,4.352565,3.457366,4.352565,lock
2.029228,1.33145,1.085257,0.218145,right
0.764816,0.068984,0.789835,0.687923,start
0.638366,0.868451,0.739835,0.097442,trunk
2.63145,1.844348,0.876402,0.843315,back
1.087923,0.218984,0.918451,0.445737,start
0.774008,0.637923,1.014816,0.077401,trunk
3.407366,3.98138,2.597627,1.585257,back
4.579555,2.976402,0.893315,1.426402,right
1.087923,0.874008,1.024418,0.048837,trunk
3.057366,1.276402,0.038792,0.982787,right
2.276402,5.379228,7.502565,2.63145,lock
0.788366,0.435257,1.074008,0.177401,trunk
1.489835,0.274628,1.024418,0.789835,start
4.396283,6.979555,6.383659,3.532787,lock
1.829228,3.879555,3.129555,1.118451,back
0.739835,0.218145,1.193315,0.664816,start
1.526402,2.182787,6.529555,3.457366,lock
1.193315,0.23764,1.376402,0.387923,start
2.94422,1.647956,0.538366,2.032787,right
5.552565,8.179555,3.757366,4.802565,lock
1.093315,1.018451,1.376402,0.109331,trunk
0.488366,0.122672,0.614816,0.645737,start
1.039835,0.13764,1.018451,0.585257,start
1.88138,2.33138,2.597627,0.774008,back
1.594348,0.588366,1.376402,0.274628,trunk
3.879228,3.046283,0.974418,1.093315,lock
2.597627,3.797627,0.974418,2.597627,lock
2.747627,2.647627,2.98138,0.988366,back
1.94422,3.797627,7.740077,2.78145,lock
0.689835,0.038792,0.974418,0.537923,start
0.839835,0.374628,0.664816,0.122672,trunk
2.957366,3.948162,1.393315,0.989835,back
4.883659,4.546283,2.746283,4.502565,lock
7.498162,5.333659,1.376402,3.457366,lock
8.548162,8.848351,2.896283,3.907366,lock
1.193315,0.488366,0.774008,0.122672,trunk
0.868451,4.58145,5.783659,3.646283,lock
0.614816,3.647627,4.329228,2.443315,lock
5.576402,8.257366,9.990077,4.28138,lock
5.783659,4.579228,1.943315,4.082787,right
1.732787,1.94422,12.267196,2.63145,lock
0.839835,5.483659,5.033659,4.029228,lock
3.457366,3.797627,1.67672,3.68138,lock
1.737923,0.218145,0.974418,0.888366,start
2.857366,3.848162,1.293315,1.039835,back
1.376402,0.274628,1.093315,0.868451,start
0.787923,0.122672,1.22672,0.435257,start
3.797627,5.033659,1.22672,1.732787,lock
0.664816,0.109331,0.614816,0.437923,start
2.33145,6.529555,4.652565,1.093315,lock
1.218451,1.018451,2.22672,0.194422,trunk
1.424008,4.279228,8.283659,3.057366,left
1.732787,3.457366,8.183659,4.73138,lock
2.946283,1.64422,0.387923,0.974418,right
4.297627,4.702565,1.843315,1.389835,back
1.014816,0.097442,1.193315,0.689835,start
1.424418,4.233659,6.007366,1.093315,back
3.82672,6.279555,3.729555,2.794348,back
0.974418,2.447627,4.883659,1.393315,lock
1.257366,3.38145,1.676402,0.974418,back
0.774008,2.18145,4.629228,1.732787,lock
3.22672,5.083659,5.247627,2.42672,back
5.648162,3.979228,3.224008,3.48145,right
1.94422,0.194422,1.426402,1.72672,start
1.22672,0.689835,0.974418,0.635257,trunk
0.274628,2.88145,4.990077,1.376402,left
2.594348,3.879228,5.479555,1.732787,lock
1.074418,0.273279,1.22672,0.868451,start
0.824008,0.764816,0.974418,0.13764,trunk
1.093315,0.435257,0.614816,0.244422,trunk
4.179228,7.348351,7.179228,4.507366,lock
0.939835,0.173279,1.264816,0.987923,start
1.526402,4.88145,5.229228,2.894348,lock
1.264816,1.093315,1.393315,0.268145,trunk
5.883659,4.679228,2.043315,4.182787,right
1.093315,0.204435,0.974418,0.387923,start
0.689835,0.077401,1.018451,0.387923,start
4.633659,3.047627,2.83138,4.152565,right
1.607366,3.529228,3.08138,0.738366,back
1.82672,7.798351,5.183659,2.447627,lock
1.57672,2.993315,4.883659,2.73138,left
0.974418,0.547956,1.093315,0.688366,start
1.526402,4.883659,8.940077,3.08138,lock
2.69422,7.198162,9.28451,9.229555,lock
2.746283,2.746283,0.774008,1.376402,lock
1.274418,5.03138,8.68451,2.896283,lock
1.376402,5.557366,7.648351,2.746283,lock
0.974418,3.38138,7.048351,4.352565,lock
1.718145,1.826402,4.498162,2.494348,left
3.907366,4.846283,1.093315,1.732787,lock
0.345737,5.829228,6.683659,1.026402,left
1.882787,4.397627,5.929555,4.057366,lock
0.947956,0.13764,0.689835,0.774008,start
0.487923,0.437923,0.485257,0.274628,trunk
1.632787,2.68145,6.248162,3.48138,left
0.874008,0.344422,0.924008,0.027463,trunk
4.28138,5.479555,2.782787,2.126402,lock
2.746283,7.740077,13.76402,2.09422,lock
0.774008,3.73138,3.902565,1.647956,left
0.194422,1.018451,1.532787,0.774008,left
3.452565,1.744348,0.485257,1.643315,right
6.598162,6.229555,2.482787,3.496283,lock
1.093315,4.43145,4.779228,2.444348,lock
5.229555,3.596283,2.614816,3.88145,right
0.924008,3.346283,6.607366,4.13145,lock
2.14422,1.343315,3.08138,2.43145,left
0.774008,0.374628,0.597956,0.019442,trunk
1.376402,0.244763,2.294348,0.689835,start
2.697627,3.846283,5.279555,0.874418,back
0.868451,2.182787,5.033659,1.844348,lock
6.529555,6.298162,8.48138,6.898351,lock
1.082787,2.647627,5.379555,2.397627,left
1.694348,4.829228,7.579228,1.946283,left
0.614816,0.218145,0.974418,0.614816,start
0.774008,1.732787,2.896283,1.843315,lock
1.876402,1.47672,0.538366,0.585257,right
0.664816,0.173279,0.664816,0.387923,start
2.597627,6.148162,8.190077,4.13138,lock
1.22672,0.424628,1.293315,0.868451,start
0.689835,0.194422,0.614816,0.387923,start
1.093315,0.218145,0.747956,0.874008,start
0.764816,0.019442,1.185257,0.694763,start
0.614816,0.435257,1.039835,0.218145,trunk
0.739835,0.118984,1.018451,0.695737,start
1.632787,3.346283,3.157366,1.293315,back
0.244422,0.918451,1.432787,0.824008,left
5.857366,6.898351,1.994348,1.544348,lock
1.826402,3.797627,7.048162,3.947627,lock
1.54422,1.126402,3.457366,3.047627,left
3.08138,1.59422,0.789835,0.868451,right
1.474418,5.33145,7.740077,2.23145,left
1.882787,1.38138,2.73145,0.345737,back
3.983659,4.052565,2.243315,3.533659,right
4.029228,6.448162,9.298162,4.88145,lock
3.08138,3.907366,1.732787,2.024418,lock
3.197627,3.647627,2.032787,1.732787,lock
2.029228,5.729555,6.029555,2.54422,back
2.032787,3.89422,8.548162,3.457366,lock
3.08145,2.464816,3.457366,0.393315,back
0.918451,0.387923,0.868451,0.048837,trunk
3.082787,4.352565,4.883659,3.907366,lock
1.22672,0.318145,1.118451,0.685257,start
2.18145,2.27672,3.33138,0.674418,back
1.22672,0.308138,1.437923,0.524628,trunk
0.387923,0.658138,1.093315,0.387923,start
5.179228,3.679228,0.924418,2.043315,right
1.42672,0.122672,1.543315,0.918451,start
2.68145,3.679228,3.932787,1.093315,back
3.53138,3.907366,5.783659,1.124418,lock
6.148162,3.28138,0.768451,2.78138,right
5.379228,3.197627,1.818451,3.33145,right
1.093315,0.194422,1.22672,0.345737,start
0.587923,0.688366,0.824008,0.061482,trunk
1.926402,2.19422,0.82672,1.439835,right
3.598162,2.33145,0.874008,0.689835,right
2.19422,2.247627,1.17672,0.993315,back
1.87672,2.382787,6.279555,3.48145,left
0.645737,2.98138,6.029555,2.857366,left
0.514816,1.024418,2.347627,1.244348,left
0.974418,0.154435,1.074418,0.487923,start
1.732787,5.107366,6.898351,2.632787,lock
0.968451,2.88145,4.933659,1.32672,left
9.148162,7.198351,2.747627,4.507366,lock
3.607366,3.28138,1.793315,0.885257,back
0.537923,4.402565,6.340077,1.27672,left
1.22672,3.626402,2.78138,0.624008,back
2.144348,5.857366,7.348351,1.94422,lock
0.468145,1.43145,3.998162,1.368451,left
0.485257,0.345737,0.974418,0.012267,trunk
1.376402,3.557366,3.907366,0.435257,back
4.352565,1.77672,0.538366,1.543315,right
1.274418,0.13764,0.874008,0.614816,start
2.18145,2.746283,7.498162,1.844348,lock
1.732787,2.747627,4.58138,1.376402,lock
1.994348,4.629228,7.129555,4.652565,lock
2.107366,0.547956,1.424418,1.682787,right
3.529228,4.48138,3.929555,1.23145,back
2.126402,2.24422,8.490077,3.907366,lock
0.774008,4.683659,6.898351,1.68145,left
0.824008,0.194422,1.018451,0.345737,start
0.689835,0.024476,0.789835,0.685257,start
2.746283,5.529228,6.148162,1.882787,lock
2.08138,1.89422,1.543315,0.924418,right
3.607366,9.73451,2.63145,3.196283,lock
3.374418,5.452565,5.379228,2.144348,back
2.13145,1.63138,2.802565,0.924418,back
2.332787,5.252565,5.783659,1.093315,lock
1.093315,0.488366,1.694348,0.345737,start
1.22672,4.479228,5.183659,1.22672,lock
4.729555,2.397627,2.347627,4.13145,right
3.497627,1.576402,0.614816,1.424418,right
0.974418,3.23138,5.407366,3.08138,lock
2.679228,4.029228,3.979555,1.12672,back
0.614816,0.435257,0.845737,0.122672,trunk
0.647956,0.345737,0.974418,0.109331,trunk
3.99422,2.946283,0.918451,1.87672,right
0.747956,0.218145,1.093315,0.387923,start
5.479555,6.898162,7.133659,6.829555,lock
0.387923,2.93138,4.032787,0.644348,left
1.218451,0.122672,0.664816,0.308138,start
0.974418,5.779555,6.898162,1.94422,lock
1.794763,2.42672,5.333659,2.87672,left
0.547956,3.08138,9.898162,1.22672,lock
1.79422,1.376402,3.08138,0.787923,back
0.488366,0.122672,0.864816,0.435257,start
0.614816,0.097442,1.818451,0.647956,start
0.814816,0.395737,0.689835,0.109331,trunk
1.089835,0.824008,1.524418,0.13764,trunk
2.48145,3.382787,0.974418,1.22672,lock
1.193315,4.379228,4.357366,0.689835,back
2.18145,3.457366,3.83138,1.376402,lock
5.079228,3.83138,4.029228,5.18138,lock
